nu_real,nu_imag,rho_real,rho_imag,abs_rho
-0.05000000000000206,0.0020193768881643123,0.9459278730951176,0.002123610999366042,0.9459302568487433
-0.05000000000000208,-0.002019376888164322,0.9459278730951176,-0.002123610999366052,0.9459302568487433
-0.049999999999999205,0.0060231880018217525,0.9459090499090497,0.00633404468677375,0.9459302568487462
-0.04999999999999922,-0.006023188001821748,0.9459090499090497,-0.006334044686773746,0.9459302568487462
-0.05000000000000037,0.010232101473623079,0.9458690567983138,0.010760028503729072,0.9459302568487451
-0.050000000000000364,-0.010232101473623115,0.9458690567983138,-0.010760028503729112,0.9459302568487451
-0.04999999999999656,0.013893856545583996,0.9458174166681995,0.014610446572022328,0.9459302568487491
-0.04999999999999654,-0.013893856545583963,0.9458174166681995,-0.014610446572022293,0.9459302568487491
-0.04999999999999962,0.01859059365683825,0.9457282352313882,0.019548808353928703,0.945930256848746
-0.049999999999999614,-0.018590593656838142,0.9457282352313882,-0.01954880835392859,0.945930256848746
-0.04999999999999835,0.021606788908058634,0.9456573676402572,0.02271989985973648,0.9459302568487473
-0.04999999999999838,-0.021606788908058575,0.9456573676402572,-0.02271989985973642,0.9459302568487473
-0.04999999999999852,0.02706321372615643,0.9455021494245994,0.028455865043943544,0.9459302568487471
-0.049999999999998504,-0.027063213726156412,0.9455021494245994,-0.028455865043943523,0.9459302568487471
-0.05000000000000116,0.029176418857561656,0.9454326885772621,0.030677062954284108,0.9459302568487443
-0.050000000000001106,-0.029176418857561608,0.9454326885772621,-0.030677062954284063,0.9459302568487443
-6.166917707745023e-08,2.801363156329926e-17,0.999999931440606,3.114355713474337e-17,0.999999931440606
-0.049999999999999344,0.0356396078808001,0.9451878605394096,0.037469442361322804,0.9459302568487462
-0.05000000000000146,0.036600238758650844,0.9451473056331025,0.038478844530697984,0.945930256848744
-0.049999999999999226,-0.035639607880800186,0.9451878605394097,-0.037469442361322894,0.9459302568487463
-0.05000000000000148,-0.03660023875865099,0.9451473056331025,-0.038478844530698136,0.945930256848744
-0.09999993833082291,-5.0007302779808695e-17,0.8947841121677902,-4.9745125091425223e-17,0.8947841121677902
0.017591399353601822,6.47138129636769e-17,1.0197493524495822,7.336505710311607e-17,1.0197493524495822
-0.05018411026651321,0.044097458550950104,0.9446004021974894,0.04634561410554086,0.9457366630190872
-0.04981588973348564,0.04409745855094892,0.9449871642492977,0.046364590092382384,0.9461238903073761
-0.05018411026651309,-0.044097458550950146,0.9446004021974895,-0.04634561410554091,0.9457366630190873
-0.04981588973348561,-0.04409745855094872,0.9449871642492977,-0.04636459009238218,0.9461238903073761
-0.049999999999998816,0.0512192697272588,0.9443971366643703,0.053833995598269756,0.9459302568487467
-0.04999999999999838,0.05289187836094856,0.9442954003856193,0.05558999579510443,0.9459302568487472
-0.04999999999999874,-0.051219269727258744,0.9443971366643703,-0.0538339955982697,0.9459302568487467
-0.04999999999999862,-0.05289187836094863,0.9442954003856191,-0.05558999579510449,0.945930256848747
-0.04999999999999996,0.058301131284897355,0.9439440306507395,0.06126759192892644,0.9459302568487455
-0.049999999999998025,0.06170726814359606,0.9437052615554191,0.06484157720595282,0.9459302568487475
-0.050000000000000044,-0.05830113128489744,0.9439440306507394,-0.06126759192892652,0.9459302568487454
-0.0499999999999988,0.06526008027290754,0.9434417921474463,0.06856847418129376,0.9459302568487468
-0.04999999999999809,-0.06170726814359614,0.9437052615554191,-0.0648415772059529,0.9459302568487475
-0.04999999999999869,0.07075549143403768,0.9430052752144932,0.07433102810787832,0.9459302568487469
-0.04999999999999877,-0.06526008027290749,0.9434417921474463,-0.0685684741812937,0.9459302568487468
-0.04999999999999864,-0.07075549143403781,0.9430052752144932,-0.07433102810787845,0.9459302568487469
-0.04999999999999967,-0.07195522304300503,0.9429052955109306,-0.0755887195246685,0.9459302568487459
