c,sigma,sigma_prime,kappa,phat_one,m,identity_relerr,residual
0.214,0.03095243890611185,0.15619072449687546,0.9813752655694399,-6.283185307179587,10.066808168131512,2.9849665096880223e-10,3.019112737590035e-14
0.215,0.031108758503786155,0.15644851027168707,0.9829949813160408,-6.283185307179585,10.077432792122114,2.511122712400424e-10,8.215650382226158e-15
0.216,0.031265336027055064,0.15670659697240294,0.9846165879216537,-6.2831853071795845,10.088196102392782,2.910156057611772e-10,4.7906123512575505e-14
0.217,0.031422171839429254,0.15696510845714912,0.9862408633812624,-6.283185307179585,10.099095029496644,1.860124006113717e-10,2.2440382885235977e-14
0.218,0.03157926642450453,0.15722416131912426,0.9878685404798782,-6.283185307179585,10.110126999737208,1.4771572491266055e-10,2.837452495185744e-13
0.219,0.03173662037936865,0.15748386582457058,0.989500312074082,-6.283185307179585,10.121289464581716,2.094985138160054e-10,1.7272294705605873e-13
0.22,0.03189423440813432,0.1577443260527383,0.9911368318325792,-6.283185307179585,10.132580574530909,8.7846618824127e-11,3.9114544936325046e-14
0.221,0.032052109316399804,0.1580056408133906,0.9927787208524832,-6.283185307179585,10.14399814093729,4.25999066076319e-11,1.0325074129013956e-14
0.222,0.0322102460057257,0.1582679033675641,0.9944265650569745,-6.283185307179587,10.15554097841639,1.9887801215789575e-11,1.4765966227514582e-14
0.223,0.032368645468820026,0.158531202765335,0.9960809239492243,-6.283185307179587,10.167207173240014,4.58141563674075e-12,8.104628079763643e-15
0.224,0.03252730878486718,0.15879562292711266,0.9977423248101289,-6.283185307179585,10.178996086564835,9.957533657054048e-12,9.43689570931383e-15
0.225,0.03268623711514053,0.15906124429961233,0.9994112731033112,-6.283185307179588,10.190906130706178,2.1728754663498155e-11,1.0269562977782698e-14
0.226,0.03284543169917445,0.1593281427251043,1.0010882453596115,-6.283185307179587,10.202936969863114,3.094221579714084e-11,1.5210055437364645e-14
0.227,0.03300489385055942,0.15959639092260672,1.002773698485866,-6.283185307179585,10.215087564313762,3.784090939492497e-11,7.577272143066693e-15
0.228,0.03316462495396164,0.15986605782978436,1.0044680656299558,-6.283185307179587,10.22735751033639,4.267680457208238e-11,9.880984919163893e-15
0.229,0.03332462646102917,0.16013720912052312,1.0061717594328357,-6.283185307179587,10.239746633846222,4.569807110594408e-11,1.1657341758564144e-14
0.23,0.033484899888098996,0.16040990791848425,1.0078851765119163,-6.283185307179585,10.252254121340966,4.716231561375906e-11,1.099120794378905e-14
0.231,0.033645446812482535,0.16068421360731758,1.0096086899854437,-6.283185307179587,10.264880824040258,4.730591438369447e-11,9.103828801926284e-15
0.232,0.0338062688704276,0.16096018441474144,1.0113426657087403,-6.283185307179588,10.277625528344254,4.6354274352887804e-11,1.1546319456101628e-14
0.233,0.03396736775442414,0.1612378746397368,1.0130874448521712,-6.283185307179587,10.29048976096596,4.450481296570083e-11,9.992007221626409e-15
0.234,0.034128745210928235,0.16151733837102691,1.0148433672650226,-6.283185307179587,10.303472537603954,4.1944901496765796e-11,1.4765966227514582e-14
0.235,0.03429040303940887,0.16179862685467872,1.0166107549356695,-6.283185307179587,10.316575066528058,3.883533470492876e-11,1.3156142841808105e-14
0.236,0.034452343089899105,0.1620817911564013,1.018389928719271,-6.283185307179588,10.329797589970974,3.5330384527692186e-11,1.0935696792557792e-14
0.237,0.034614567264125574,0.16236688256822032,1.0201812108929886,-6.283185307179587,10.343139766243702,3.1569569622585066e-11,1.099120794378905e-14
