xi,phi_prime,phat
-196.6796875,1.0747579028698778e-09,2.2113377075788325e-10
-196.58203125,5.98995197334428e-10,-4.2604183627352586e-11
-196.484375,8.454598961900328e-11,-2.9924991758334974e-10
-196.38671875,-4.4408332910019937e-10,-5.365742333765078e-10
-196.2890625,-9.612028854562398e-10,-7.435125264032527e-10
-196.19140625,-1.4411832702489004e-09,-9.106755358647879e-10
-196.09375,-1.859727517396122e-09,-1.0307697538581094e-09
-195.99609375,-2.195086058871213e-09,-1.0989086972809571e-09
-195.8984375,-2.4291668566826884e-09,-1.1128024002910671e-09
-195.80078125,-2.548484190539928e-09,-1.0728180551428127e-09
-195.703125,-2.544956389701261e-09,-9.81911613259708e-10
-195.60546875,-2.41635413075137e-09,-8.454358353418748e-10
-195.5078125,-2.1665619821679272e-09,-6.708366728777649e-10
-195.41015625,-1.8055022822310594e-09,-4.672544678749451e-10
-195.3125,-1.3487208912012494e-09,-2.450512791885641e-10
-195.21484375,-8.167996429098154e-10,-1.5288242328741072e-11
-195.1171875,-2.344062408862586e-10,2.108206240557041e-10
-195.01953125,3.708472330522071e-10,4.2245168012377363e-10
-194.921875,9.6968850390127e-10,6.096855968783126e-10
-194.82421875,1.5325579770960855e-09,7.639680407210128e-10
-194.7265625,2.031122144110542e-09,8.78495649654623e-10
-194.62890625,2.4396481790656057e-09,9.485104178640526e-10
-194.53125,2.736311603451816e-09,9.714897700969531e-10
-194.43359375,2.904341269991863e-09,9.472254488977097e-10
-194.3359375,2.932984111858381e-09,8.777892503633461e-10
-194.23828125,2.818142711307505e-09,7.673897111138881e-10
-194.140625,2.562638169169102e-09,6.221284440100622e-10
-194.04296875,2.1762828594231616e-09,4.496700716649328e-10
-193.9453125,1.6755049935035536e-09,2.5884301749183796e-10
-193.84765625,1.0826791459934082e-09,5.919200329117038e-11
-193.75,4.2512488841255675e-10,-1.3949555976110807e-10
-193.65234375,-2.6612027453345824e-10,-3.276656731792486e-10
-193.5546875,-9.577651895914466e-10,-4.964536592499155e-10
-193.45703125,-1.615838576062453e-09,-6.380979966777468e-10
-193.359375,-2.2073715247749147e-09,-7.462932507424847e-10
-193.26171875,-2.702001589764642e-09,-8.164659563044858e-10
-193.1640625,-3.073552782906898e-09,-8.459619377262981e-10
-193.06640625,-3.301379888320921e-09,-8.341374288922321e-10
-192.96875,-3.371501070835959e-09,-7.823517474109649e-10
-192.87109375,-3.2773820498903873e-09,-6.938634502253216e-10
-192.7734375,-3.0204456830156313e-09,-5.736371263081147e-10
-192.67578125,-2.6101592357350422e-09,-4.2807153302331416e-10
-192.578125,-2.0636836102211006e-09,-2.646639878149389e-10
-192.48046875,-1.405198746354853e-09,-9.162809038410002e-11
-192.3828125,-6.648452779876688e-10,8.251560221880016e-11
